"Volts (V)","Time (s)","Current (A)","Volts (V)","Time (s)","Current (A)","Volts (V)","Time (s)","Current (A)","Volts (V)","Time (s)","Current (A)","Volts (V)","Time (s)","Current (A)",Dsnref,Dspref,Rpn,Rpp,efn,efp,en,ep,knref,kpref,ln1,lp
3.68569895714964,1728.10104000000,0,3.6642825785379,940.636208249407,0,3.65805976984272,647.263877819471,0,3.65271385251601,500.630255038371,0,3.64834963502659,412.677361393691,0,0,0,0,0,0,0,0,0,0,0,0,0
3.67440961966745,1800.10525000000,0,3.65229494236564,979.829383593133,0,3.64485293718944,674.233206061948,0,3.63815977764145,521.489848998303,0,3.63231035971346,429.872251451761,0,0,0,0,0,0,0,0,0,0,0,0,0
3.66385957322412,1872.10946000000,0,3.6411271414883,1019.02255893686,0,3.63262711232653,701.202534304426,0,3.62475991454642,542.349442958235,0,3.61761795945645,447.067141509832,0,0,0,0,0,0,0,0,0,0,0,0,0
3.65394935769475,1944.11367000000,0,3.63065024741243,1058.21573428058,0,3.62124194749598,728.171862546904,0,3.61236349643607,563.209036918167,0,3.60410324691153,464.262031567902,0,0,0,0,0,0,0,0,0,0,0,0,0
3.64457943445067,2016.11788000000,0,3.62073649054844,1097.40890962431,0,3.61055544459307,755.141190789382,0,3.60081675732193,584.068630878099,0,3.59160011818166,481.456921625973,0,0,0,0,0,0,0,0,0,0,0,0,0
3.63565017190088,2088.12209000000,0,3.61125647049709,1136.60208496803,0,3.60042650560279,782.11051903186,0,3.58996360400201,604.928224838031,0,3.57994276924442,498.651811684043,0,0,0,0,0,0,0,0,0,0,0,0,0
3.62706199344163,2160.12630000000,0,3.60208244708382,1175.79526031176,0,3.59071366475874,809.079847274338,0,3.57964967126977,625.787818797963,0,3.56896091554973,515.846701742114,0,0,0,0,0,0,0,0,0,0,0,0,0
3.61871638634869,2232.13051000000,0,3.59308759347255,1214.98843565548,0,3.58127637161259,836.049175516816,0,3.56972004769029,646.647412757895,0,3.55848415359653,533.041591800184,0,0,0,0,0,0,0,0,0,0,0,0,0
3.61051520591929,2304.13472000000,0,3.58414364366027,1254.18161099921,0,3.571974111905,863.018503759294,0,3.56002051733053,667.507006717828,0,3.54834387382041,550.236481858254,0,0,0,0,0,0,0,0,0,0,0,0,0
3.60236014628394,2376.13893000000,0,3.57512307141702,1293.37478634294,0,3.56266560221991,889.987832001772,0,3.55039610853193,688.36660067776,0,3.53837128064843,567.431371916325,0,0,0,0,0,0,0,0,0,0,0,0,0
